1	0	0
0.9928	0	0.00227
0.97989	0	0.00405
0.96352	0	0.00627
0.94455	0	0.00878
0.9235	0	0.01151
0.90075	0	0.01438
0.87658	0	0.01735
0.85123	0	0.02038
0.82489	0	0.02343
0.79774	0	0.02648
0.76991	0	0.0295
0.74154	0	0.03248
0.71275	0	0.03539
0.68365	0	0.03821
0.65434	0	0.04093
0.62492	0	0.04354
0.59547	0	0.046
0.56607	0	0.04832
0.5368	0	0.05047
0.50774	0	0.05245
0.47895	0	0.05422
0.4505	0	0.05578
0.42246	0	0.05712
0.39488	0	0.05822
0.36782	0	0.05906
0.34135	0	0.05965
0.31551	0	0.05996
0.29035	0	0.06
0.26594	0	0.05974
0.24231	0	0.0592
0.21951	0	0.05836
0.1976	0	0.05723
0.17661	0	0.05581
0.1566	0	0.0541
0.1376	0	0.05211
0.11965	0	0.04983
0.1028	0	0.04729
0.08709	0	0.0445
0.07256	0	0.04145
0.05924	0	0.03817
0.04717	0	0.03467
0.03639	0	0.03096
0.02694	0	0.02705
0.01885	0	0.02296
0.01215	0	0.01869
0.00688	0	0.01425
0.00308	0	0.00965
0.00078	0	0.0049
0	0	0
0.00078	0	-0.0049
0.00308	0	-0.00965
0.00688	0	-0.01425
0.01215	0	-0.01869
0.01885	0	-0.02296
0.02694	0	-0.02705
0.03639	0	-0.03096
0.04717	0	-0.03467
0.05924	0	-0.03817
0.07256	0	-0.04145
0.08709	0	-0.0445
0.1028	0	-0.04729
0.11965	0	-0.04983
0.1376	0	-0.05211
0.1566	0	-0.0541
0.17661	0	-0.05581
0.1976	0	-0.05723
0.21951	0	-0.05836
0.24231	0	-0.0592
0.26594	0	-0.05974
0.29035	0	-0.06
0.31551	0	-0.05996
0.34135	0	-0.05965
0.36782	0	-0.05906
0.39488	0	-0.05822
0.42246	0	-0.05712
0.4505	0	-0.05578
0.47895	0	-0.05422
0.50774	0	-0.05245
0.5368	0	-0.05047
0.56607	0	-0.04832
0.59547	0	-0.046
0.62492	0	-0.04354
0.65434	0	-0.04093
0.68365	0	-0.03821
0.71275	0	-0.03539
0.74154	0	-0.03248
0.76991	0	-0.0295
0.79774	0	-0.02648
0.82489	0	-0.02343
0.85123	0	-0.02038
0.87658	0	-0.01735
0.90075	0	-0.01438
0.9235	0	-0.01151
0.94455	0	-0.00878
0.96352	0	-0.00627
0.97989	0	-0.00405
0.9928	0	-0.00227
1	0	0
